,title,subtitle,link
0,MIKE DROP,Mike Dean busts myth about Sir Alex Ferguson and names rival manager who was hardest to referee,https://www.thesun.co.uk/sport/37355617/mike-dean-sir-alex-ferguson-arsene-wenger/
1,ALISHA HORRORS,Alisha Lehmann burgled with home ransacked as viral footballer shares video,https://www.thesun.co.uk/sport/37358031/alisha-lehmann-home-burgled-video-statement/
2,EFL ARSON,Plymouth treat stadium fire as arson and working with cops as statement released,https://www.thesun.co.uk/sport/37357542/plymouth-treating-stadium-fire-arson-police-statement/
3,WORLD OVER,US government introduce new 'FIFA Pass' for World Cup 2026 amid visa wait fears,https://www.thesun.co.uk/sport/37357208/us-government-introduce-fifa-pass-world-cup-visa-fears/
4,TERRY-BLE MOVE,Terry reveals Chelsea ace who was 'lucky' to be there & got exiled by boss,https://www.thesun.co.uk/sport/37355344/john-terry-reveals-chelsea-teammate-exiled-boss/
5,STUNNER,Win a 5-Bed Luxury Home + £20k or £600k cash alternative from £1.79 with our code,https://www.thesun.co.uk/sport/35120440/win-house-7dp/
6,DON MEETS RON,Ronaldo to return to US for first time in almost a decade to meet Trump as he faces World Cup ban,https://www.thesun.co.uk/sport/37353450/cristiano-ronaldo-donald-trump-united-states/
7,TRUMP CARD,Fifa president hints he could strip host cities of World Cup 2026 games,https://www.thesun.co.uk/sport/37354642/fifa-gianni-infantino-world-cup-2026-donald-trump/
8,CASH WOES,Ex-Prem star facing bankruptcy after multi-million pound court clash with brother,https://www.thesun.co.uk/sport/37353701/former-premier-league-star-facing-bankruptcy-court-clash-brother/
9,JOB'S A GOOD UN,"Prem cult hero, 50, now manages Pakistan but still lives in North East",https://www.thesun.co.uk/sport/37351756/newcastle-nolberto-solano-premier-league-pakistan/
10,SES-KO'D,Sesko injury update as striker finds out which Man Utd games he will miss,https://www.thesun.co.uk/sport/37351679/benjamin-sesko-man-utd-bryan-mbeumo-amorim/
11,WELCOME OFFER,Get a £50 welcome bonus when you join Sun Vegas and spend £10,https://www.thesun.co.uk/sun-bingo/23376227/welcome-offer-sun-vegas-bonus/
12,IN TUCHING DISTANCE,England trap Thomas Tuchel must avoid falling into at World Cup 2026 after disastrous Rooney and Beckham decisions,https://www.thesun.co.uk/sport/37351546/england-thomas-tuchel-world-cup-rooney-beckham/
13,TUCH TALK,Tuchel plans World Cup talks with 60 players and to address Bellingham behaviour,https://www.thesun.co.uk/sport/37350194/tuchel-60-man-england-world-cup-shortlist-bellingham-meeting/
14,BOOBY TRAP,Bizarre moment Cole Palmer fondles boobs as Chelsea star hilariously pranked,https://www.thesun.co.uk/sport/37348661/cole-palmer-chelsea-prank-boobs-champions-league-injury/
15,STAR'S SCARE,Ex-Sunderland ace suffers brain injury as boss calls it 'worst I've seen',https://www.thesun.co.uk/sport/37343241/denver-hume-brain-injury-fleetwood-sunderland/
16,NOT GARNA HAPPEN,Man Utd ‘snubbed £58m Chelsea star in summer swap deal for Garnacho’,https://www.thesun.co.uk/sport/37348365/chelsea-romeo-lavia-alejandro-garnacho/
17,BEAUTY,"Win a 2025 Volkswagen Tiguan + £2,000 cash or £33k cash from just 21p with our code",https://www.thesun.co.uk/sport/22922880/win-car-competition-7dp/
18,PITCH PERFECT,Inside Albania stadium hotel with stunning views of pitch making England fans 'regret buying a ticket',https://www.thesun.co.uk/sport/37337839/albania-stadium-hotel-england-world-cup/
19,ASSAULT & PEPPER,Shock moment footballers are pepper-sprayed by cops in wild full-time row,https://www.thesun.co.uk/sport/37345308/argentina-football-riot-police-pepper-spray-players/
20,HAA DARE YOU,Erling Haaland left fuming as he accuses Italy star of 'grabbing my bum',https://www.thesun.co.uk/sport/37344530/erling-haaland-norway-italy-world-cup-qualifying/
21,IN FOR THE KYL,Mbappe's bitter feud with PSG reaches court as he claims £211m in damages,https://www.thesun.co.uk/sport/37348295/kylian-mbappe-bitter-feud-psg-court/
22,NOU START,Barcelona finally return to Nou Camp after £900million renovation,https://www.thesun.co.uk/sport/37347216/barcelona-finally-return-nou-camp-900m-renovation/
23,WILL I NEVER,Chelsea's Estevao 'given dressing down by Ancelotti in front of Brazil squad',https://www.thesun.co.uk/sport/37347187/chelsea-estevao-willian-carlo-ancelotti-brazil/
24,JOY OF SIX,Book your England cricket tickets & hotel packages at Old Trafford,https://www.thesun.co.uk/sport/37215617/england-cricket-tickets-hotel-old-trafford-india-sri-lanka/
25,BIG WEEKENDER,Join the party for £285 for 3 nights as Butlin's Minehead hosts darts finals,https://www.thesun.co.uk/sport/36997352/butlins-minehead-luke-littler-pdc-championship-finals/
26,VEGAS BABY,Las Vegas Grand Prix travel package including flights and hotel for just £1529,https://www.thesun.co.uk/sport/37020852/las-vegas-grand-prix-travel-package-flights-hotel-price/
27,AL-RIGHT NOW,'I'm enjoying it now' – Sir Alex Ferguson gives verdict on Amorim's new-look Man Utd and names 'outstanding' new star,https://www.thesun.co.uk/sport/37335925/ferguson-amorim-man-utd-verdict-outstanding-transfer/
28,RED-FACED,Former Prem star apologises after calling Liverpool star crude name on live TV,https://www.thesun.co.uk/sport/37343340/kevin-doyle-dominik-szoboszlai-ireland-world-cup/
